id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
201,46 to 55,524.34,4908.96,Regular Job,0,500,2,NM,0.01057658
202,46 to 55,102,1440,Regular Job,0,750,1,AL,0.09393056
203,36 to 45,1212.23,4755.72,Self Employed,0,800,2,NM,0.01230308
204,66 to 75,1597.82,4352,Regular Job,0,2500,2,NM,0.04340303
205,36 to 45,4861.26,4851.08,Regular Job,0,2000,2,NM,0.02711973
206,46 to 55,116.5,3578.08,Regular Job,0,700,2,OK,0.03877499
207,66 to 75,8.92,3574,Social Security,0,300,2,OK,0.09671237
208,46 to 55,14.15,783,Social Security,0,500,2,OK,0.17790549
209,66 to 75,33.8,1505.64,Retired / Pension,0,2000,2,NM,0.15111846
210,26 to 35,2.86,1094,Social Security,0,600,2,OK,0.08801645
211,36 to 45,0.99,3863.88,Self Employed,0,800,2,NM,0.02008862
212,56 to 65,583.44,5360.2,Regular Job,0,1500,2,NM,0.02173426
213,56 to 65,489.73,3279.22,Social Security,0,1000,1,NV,0.05870298
214,56 to 65,186.02,5233.04,Regular Job,0,750,1,NV,0.01799528
215,26 to 35,190.8,3857.4,Regular Job,0,500,2,NM,0.01317208
216,26 to 35,0.93,5270.96,Regular Job,0,200,3,ID,0.00511482
217,66 to 75,5,743,Social Security,0,200,2,NM,0.08944818
218,36 to 45,41561.78,693.9,Social Security,0,1200,2,OK,0.34654849
219,36 to 45,445.59,7785.28,Regular Job,0,700,2,NM,0.00737546
220,46 to 55,281.98,7248.44,Regular Job,0,500,2,NM,0.0056081
221,66 to 75,231.58,2027.16,Social Security,0,2000,2,NM,0.1321652
222,66 to 75,189.58,1210,Social Security,0,750,1,NM,0.11168595
223,56 to 65,305.82,4514.28,Regular Job,0,500,1,OK,0.03066934
224,75 and above,25.43,1427.36,Retired / Pension,0,750,1,NV,0.10948184
225,56 to 65,201.15,7185.2,Self Employed,0,1500,1,NM,0.01621388
226,66 to 75,323.78,4053.34,Retired / Pension,0,800,2,NM,0.03546705
227,36 to 45,146.43,8940.88,Regular Job,0,1200,1,NM,0.00984243
228,26 to 35,227.72,6335.68,Regular Job,1,400,2,NM,0.01550899
229,66 to 75,90.55,1195,Social Security,0,400,2,NM,0.07734728
230,16 to 25,9.76,4000,Regular Job,1,400,2,NM,0.0116975
231,36 to 45,276.65,2644,Retired / Pension,0,600,2,OK,0.04505673
232,66 to 75,2032.65,3389.53,Retired / Pension,0,500,1,OK,0.16688154
233,56 to 65,751.63,8184.32,Regular Job,1,1500,1,NV,0.0144899
234,46 to 55,2935.66,4172.72,Regular Job,0,500,2,OK,0.0240227
235,26 to 35,4.39,1100,Self Employed,0,400,2,ID,0.04733636
236,36 to 45,149,1894,Regular Job,0,500,2,NM,0.02932418
237,66 to 75,0.46,2840.45,Retired / Pension,0,700,2,NM,0.01967294
238,46 to 55,1.21,3432.04,Regular Job,0,500,1,NM,0.01504062
239,46 to 55,77.23,3279.24,Regular Job,0,500,2,NM,0.01595797
240,36 to 45,496.57,5554.84,Regular Job,0,500,1,NV,0.00944582
241,26 to 35,347.74,2378.64,Regular Job,0,150,2,MS,0.07567349
242,16 to 25,88.05,3405.96,Regular Job,0,335.18,2,NM,0.01127729
243,75 and above,4.51,1338,Social Security,0,500,1,NV,0.0972571
244,56 to 65,367.91,4647.52,Regular Job,1,500,2,OK,0.12171007
245,46 to 55,1245.6,400,Social Security,0,1500,1,OK,0.4905
246,66 to 75,323.78,4053.34,Retired / Pension,0,800,2,NM,0.03546705
247,75 and above,938.7,1088.1,Social Security,0,500,1,NM,0.10204025
248,36 to 45,4861.26,4851.08,Regular Job,0,2000,2,NM,0.02671364
249,26 to 35,25.44,1686.4,Regular Job,0,250,1,OK,0.04130693
250,46 to 55,605.17,5570.92,Regular Job,0,600,1,OK,0.0172844
251,75 and above,21.38,1035,Social Security,0,400,2,NV,0.08942029
252,16 to 25,642.93,983.27,Regular Job,0,100,2,OK,0.0283442
253,56 to 65,592.69,3287.72,Regular Job,0,600,1,ID,0.02315586
